Person,Tweet,NEREntityCount,LengthOfTweet,Relevance,Sentiment
Donald Trump,"RT @HahnAmerica: The Trump kids are all registered Democrats, I wonder... did Donald Trump forget to change his party from dem to gop? #Nev",4,139,2,0
Donald Trump,"RT @StopTrumpPAC: Marco Rubio will never ever accept any position in a Trump administration, let alone VP.Take it to the bank!   ",2,131,2,1
Donald Trump,Up like Donald Trump!,2,22,1,0
Donald Trump,RT @TearsInHeaven09: Draft Dodger Donald Trump Screws Veterans Out Of Millions Raised At Fundraiser via @politicususa,2,118,2,1
Donald Trump,"RT @Veteran4Trump: For the record: Donald Trump's ""Make America Great Again"" hats are manufactured by Cali-Fame in Carson, California! http",2,139,2,0
Donald Trump,RT @CarolHello1: Natl Security Donald Trump Whatever It Takes Albany ,2,72,2,0
Donald Trump,#USA  Breaking: Donald Trump Mentions Rubio in VP Talk,3,55,2,0
Donald Trump,Cruz Beats Trump in #NYgop  #TrusTed#USJobs #EminentDomain #ChooseCruz#NYprimary#PAgop,3,86,2,1
Donald Trump,RT @s8n: The sooner Donald Trump dies the sooner I get to see my son and the sooner everyone on earth will be happier,2,117,1,1
Donald Trump,RT @serendipityacm: @trishapaytas Did you just try to compare Donald Trump to Jesus?,3,84,1,1
Donald Trump,"Bring some #Grace back to the White House, support   ",0,53,2,0
Donald Trump,"RT @USAforTrump2016: ""We have a $500 billion trade deficit with China, they are killing us on trade"" -Donald Trump",1,114,2,1
Donald Trump,"RT @GPN14: If you have a job &amp; are raising a family &amp; don't have time to be a GOP activist, #cologop says you can't vote. ",0,130,2,1
Donald Trump,RT @AllKnowA: We all know a dumbass named Donald Trump,2,54,1,1
Donald Trump,"RT @USAforTrump2016: ""We are going to protect our 2nd amendment. It is so important"" -Donald Trump",2,98,2,0
Donald Trump,RT @SteveDeaceShow: Trump 2016 and everything it has corrupted in one tweet.,1,78,1,1
Donald Trump,RT @verity_america: @realDenaldTrump Trump's mobsters are as incompetent as Donald. This is how they threatened IN delegates.  LOSERS,1,134,1,1
Donald Trump,"once, when he was 23, my dad saw Donald Trump in Hong Kong.",2,59,2,0
Donald Trump,"Sen @CoryGardner, currently ripping Donald Trump a new ass... Salute sir! #cogop",2,80,1,1
Donald Trump,"RT @devilchasnme: Neg ads in Primary are patty-cake compared to what Dems will throw at GOP nominee. Trump can't hande it, Cruz can. ",2,133,2,1
Donald Trump,RT @newtgingrich: Donald Trump tax plan is supported by 7 decades of hard data,2,79,1,0
Donald Trump,TRUMP LIVE STREAM IN ROME ( MUST WATCH ),0,41,2,0
Donald Trump,RT @vivelafra: VIDEO: Donald Trump is beloved.  A true man of the people.  #Trump2016,2,86,1,0
Donald Trump,RT @rasalom666: How stupid do U hv to be to think NYC developer billionaire 1%er is ANTI-establishment? TRUMPOID STUPID! #NeverTrump,0,133,1,1
Donald Trump,RT @teaparty321: Donald Trump has Worked Harder Against New York Republicans than Just About Anyone #RedNationRisin,2,116,1,0
Donald Trump,I'm gonna stay and make him deal with my annoying ass. see how long he tries to stay. bitch.,0,94,1,1
Donald Trump,RT @cnni: The Donald Trump guide to the rest of world:,2,56,1,0
Donald Trump,RT @boyswithearts: donald trump,2,32,2,0
Donald Trump,Donald trump represents an orange ball of hatred,1,48,1,1
Donald Trump,More useful insight into the rise of Donald Trump:  #tcot @PatrickMcHenry,2,73,2,0
Donald Trump,If Donald Trump becomes president I'm moving to Arkansas,2,56,1,1
Donald Trump,RT @EliteDaily: Women hold up signs with Donald Trumps most sexist quotes:,2,76,1,1
Donald Trump,"Breaking: Commotion now at the lottery office where Donald Trump claims he won the Powerball, only issue is that he never bought a ticket.",2,138,2,1
Donald Trump,RT @PragaHumanidade: justin bieber feat. donald trump,0,53,2,0
Donald Trump,RT @jordansdiamonds: eating Donald Trump and his supporters for breakfast,2,75,1,1
Donald Trump,"But here's my question: if you're going to have a ""safe space"" during the Donald Trump event, why put it right across the street?",2,129,2,1
Donald Trump,RT @realCalvinHobbs: Bob Knight Retired Indiana Basketball Coach Endorses Donald Trump for President  #IN #NCAA http,4,116,1,0
Donald Trump,Letter 2 Trump Supporters-The Principles &amp; Person of #TedCruz &amp; Political Realities 4 Trump! #DonaldsDisorder #VOAV,0,124,2,0
Donald Trump,"RT @The_Trump_Train: DONALD TRUMP ABOUT TO TAKE THE STAGE IN ALBANY, NY! RT TO SPREAD!CLICK BELOW TO WATCHh",2,112,2,0
Donald Trump,Make America great again,0,25,1,0
Donald Trump,"RT @bethanyshondark: I'm not kidding when I say if Donald Trump is elected, I'll end up in Gitmo. This is why: ",2,111,1,1
Donald Trump,The Daily Trail: How fixable is Donald Trump's delegate problem? - Washington Post,2,83,2,1
Donald Trump,The only Donald Trump I support is the Mac Miller song,4,54,1,1
Donald Trump,RT @AmmnM_: Donald Trump and Hillary Clinton are on a boat. The boat sinks. Who's saved?America.,4,97,1,1
Donald Trump,"RT @realDonaldTrump: Tune in &amp; join me live in Albany, New York! 7pmE start time! I love you New York! #Trump2016 #TrumpTrain ",0,131,2,0
Donald Trump,Natl Security Donald Trump Whatever It TakesAlbany @PauloSibaja @AnnCoulter ,2,8,2,0
Donald Trump,"Donald Trump's Lost Delegates: Blame a Weak Ground Game, Not Ted Cruz ",4,70,2,1
Donald Trump,RT @niazartkid: donald trump supporters vs bernie sanders supporters i mean no words needed,0,92,2,1
Donald Trump,"RT @OutFrontCNN: Donald Trump has a commanding lead in New York, according to a new poll  #NYPrimary ",2,101,1,0
Donald Trump,"RT @Jackie4Trump: Strong, independent &amp; smart women support Donald Trump! RT this to show your support! #Women4Trump #Trump2016 #GOP ",2,137,1,0
Donald Trump,This made me wanna hug some people /:,0,38,1,0
Donald Trump,didn't even get to meet rupi kaur bc of night school i blame donald trump,0,73,2,1
Donald Trump,RT @vivelafra: VIDEO: Donald Trump is beloved.  A true man of the people.  #Trump2016,2,86,1,0
Donald Trump,"Donald Trumps hotel chain breached again, credit card data possibly stolen in POS cyber attack ",2,95,2,1
Donald Trump,#DonaldTrump Blows A Gasket Over Rigged Rules And Crooked Deals In Col...  #Liberal #Democrat,0,94,2,0
Donald Trump,@ComplexMag Fuck Donald Trump,2,29,1,1
Donald Trump,RT @MotherJones: Ted Cruz is almost as popular as Donald Trump,5,64,2,0
Donald Trump,"RT @SooperMexican: Donald Trump says he will sue @TedCruz for unfairly using his brain in a contest of wits, ""can you believe this guy? It'",3,139,2,1
Donald Trump,RT @umpire43: Listen watch and feel good at least for as long as you can. You will like this.,0,94,2,0
Donald Trump,RT @MargoRafi: Hahahaha the apple clearly fell by the tree,1,60,2,0
Donald Trump,Donald Trump,2,12,2,0
Donald Trump,Photo shows Martin Luther King statue in Donald Trump hat,5,58,2,0
Donald Trump,"Trump is the ""do as I say not as I do "" type leader &amp; like any pathological liar he's got exceptions for every rule  ",1,121,1,1
Donald Trump,RT @benshapiro: Lyin' Donald: 101 Of Trump's Greatest Lies | Daily Wire,2,73,1,1
Donald Trump,"RT @SooperMexican: The Donald says it's very unfair for @TedCruz to be allowed to use his brain, as that gives him an unfair advantage over",1,139,2,1
Donald Trump,"RT @imwithhim1: After Loss in Colorado, Donald Trump Supporters Give State Chairman an Earful  via @NYTPolitics",2,111,2,1
Donald Trump,RT @neilinozone: DONALD TRUMP's tag for Hillary is OH-SO-FITTING... #CrookedHillary,3,83,2,1
Donald Trump,RT @Jackie4Trump: LeVell is a black man on a mission to change what he thinks is an unfounded &amp; unfair perception that Trump is racist http,2,143,1,0
Donald Trump,RT @Gizmodo: Facebook employees asked Mark Zuckerberg if they should try to stop Donald Trump,5,95,1,1
Donald Trump,RT @CharlesHamerle: I would love to watch @SquawkCNBC ask @realDonaldTrump the same sort of questions. Live. #Comedy,0,117,2,0
Donald Trump,"RT @PhilipRucker: A group of minorities is on a mission to change the perception that Donald Trump is racist, @WaPoVanessa reports ",3,131,1,0
Donald Trump,"RT @jaketapper: County GOP chair: ""I said I wouldnt back Donald Trump at the GOP convention. Then the threats began"" ",2,117,1,1
Donald Trump,RT @IAmFreedomMan: i #2a Tenaciously!;) htt,0,47,2,0
Donald Trump,RT @SofiaVergara: Stupid fake journal.never again use my name to invent stupid fake news.,0,90,2,1
Donald Trump,RT @BuzzFeedAndrew: Trump hires the best people:,1,50,1,0
Donald Trump,What I find amazing is how Hollywood actors come out w/o fear n endorse Donald Trump this is amazing and I believe this is first in history,2,139,1,0
Donald Trump,RT @zesty_trump: #MichelleFields says #Trump and aide defamed her  #Trump2016,1,78,1,1
Donald Trump,Trump Finally Gets His NYC Homecoming on Staten Island - NEW YORK (AP)  Donald Trumps political home in his n...,2,113,2,0
Donald Trump,"Donald Trump tells RNC to reform rules or face ""rough"" July convention  via @HuffPostPol",2,88,2,0
Donald Trump,"RT @TheAffinityMag: 20,000+ saying ""Fuck Donald Trump"" at Coachella. This is history happening ",2,95,1,1
Donald Trump,RT @EndorsementsGOP: Michael T. Flynn FMR Director of the U.S. DIA Endorses Donald Trump for President  #NY #NYC htt,5,116,1,0
Donald Trump,Donald Trump - Black Muslims support Trump,3,43,1,0
Donald Trump,RT @Fat_Jalbert: [debate] Ted Cruz: ...and that's why Trump cannot win! Donald Trump: zodiackillersayswhat Ted Cruz: What? Moderator: *soft,7,139,2,1
Donald Trump,RT @vonny_bravo: As* small penis,0,33,2,1
Donald Trump,RT @AbieRubin: Why is Donald Trump upset? Its because Ted Cruz is schooling him in the art of the deal.,4,104,2,1
Donald Trump,Ted Cruz Says He Can Woo Donald Trump's Supporters,4,51,2,1
Donald Trump,"RT @kumailn: The Prime Minister of Canada explained quantum computing in less than 30 seconds. Donald Trump misspelled the word ""dumber.""",2,138,2,1
Donald Trump,"Frat Brothers Build A Mock Border Wall In Honor Of Donald Trump, then tapped their 13th keg:  via @thinkprogress",2,112,2,1
Donald Trump,RT @PatriciaBride: POLL: The only delegates Cruz gets are the ones he steals from Donald Trump. Agree?,3,103,2,0
Donald Trump,"RT @rogerkimball: Something else that would be funny if it were not in earnest: Donald Trump, the first real thug running for POTUS. ",2,133,1,1
Donald Trump,"When you can make the crowd go crazy with three words, you know you got the best lyrics.  fuck DonaldTrump  ",1,109,1,1
Donald Trump,RT @MrJoshPerry: Ive got one: Third Grade Donald.,2,50,1,1
Donald Trump,He arrived on time to get his ass handed to him by Donald J Trump!,3,67,1,0
Donald Trump,@realDonaldTrump Donald Trump you are the man!! You have my vote from here in BROOKLYN NYC,2,90,1,0
Donald Trump,"RT @SMTM2016: African American businessman: ""Trump is not a racist!"" ",1,69,1,0
Donald Trump,"RT @immigrant4trump: Thanks for Retweet this 1,700 times! Lets Make it 2,000 Times!  #Trump2016 #LatinosForTrump #NY",0,116,2,0
Donald Trump,RT @EthanBrondum: Donald Trump made me late to church today. I do not like Donald Trump.,4,88,1,1
Donald Trump,I liked a @YouTube video  Donald Trump's Phone Call with Ted Cruz,4,65,2,0
Donald Trump,RT @trump_world: Trump is very presidential! The only one willing to give America what she needs! Real Tough love! We love you Donald! #Mak,3,139,1,0
Donald Trump,Buffalo: Protests planned for Donald Trump's Buffalo visit  #communityscene,2,75,2,1
Donald Trump,Crooked Hillary!?!? Well then .. I NEED to donate to her!!!,1,60,2,1
Donald Trump,RT @dispute_press: #politics Actress Kirstie Alley endorses Donald Trump,4,74,1,0
Donald Trump,Great News For Donald Trump in the State that Could Decide Everything:,2,72,1,0
Donald Trump,RT @DanScavino: While Donald J. Trump receives an endorsement from the New York Veteran Police Association- LYIN' TED gets.....,3,128,1,0
Donald Trump,"RT @WSJ: Meet America's 'Trumpiest' county, Buchanan County, Virginia, where Donald Trump won 69.7% of the primary vote ",2,120,1,0
Donald Trump,Ted Cruz adviser says Donald Trump campaign taking 'banana republic' approach - Economic Times  News!,4,101,2,0
Donald Trump,"""If you don't get enough sleep you're going to end up like Donald trump""",1,72,1,1
Donald Trump,Putin: Russia hopes to see Donald Trump in the White House as he fully understands the ...  #Putin #russia,4,106,1,0
Donald Trump,RT @RichardWeaving: The GOP has been stoking a fire under fed-up conservatives for years. #VoteTrumpUSA,0,106,2,0
Donald Trump,"If Drumpf loses, you know a lawsuit against RNC is coming. ",1,59,2,0
Donald Trump,"RT @mitchellvii: ""What this election has shown is that when voters participate, Donald Trump wins."" - Paul Manafort",4,117,1,0
Donald Trump," @SenseiJ5 @A_Rebel_Yell Another story, Trump support homosexual pedophilia source of stories: IRS tax docs form 990",1,116,2,0
Donald Trump,"poor Corey,Donald Trump is mad oh well,tell him to get over it it's over Donald dumbass,you're racist ways costed you everything,go home.",4,137,1,1
Donald Trump,RT @veganvecoh: Susan Sheldon ran for office in 2007..Tells how political process was corrupt &amp; urges everyone to back Donald Trump.,4,137,1,0
Donald Trump,RT @Unlimited_mpg: TRUTH ---- RT,0,33,2,0
Donald Trump,RT @tinatbh: im so angry the next generations will probably have virtual reality &amp; alien contact and we have republicans like donald trump,0,142,1,1
Donald Trump,@FoxNews@Donald Trump Delegates/Electorate are supposed to stay with the Popular vote aka the People!  Stop the Corruption!,2,123,2,0
Donald Trump,"RT @FoxNews: Donald Trump: ""I've spent less money than almost anybody else and I'm in first place by a lot.""",2,109,2,0
Donald Trump,#Ice Cube: Donald Trump is What Americans Love About The American Dream  via @YouTube #trump2016 #Americandream,2,111,1,0
Donald Trump,The Place That Wants Donald Trump Most,3,39,1,0
Donald Trump,RT @robfee: Donald Trump's search history is pretty much what you'd expect.,2,76,2,1
Donald Trump,Legendary linguist schools us on why Donald Trump sounds SO incoherent,2,71,1,1
Donald Trump,Incredible!!!,0,15,1,0
Donald Trump,"Paladino: Republicans Not Backing Trump 'Cowards': BUFFALO, N.Y. WithDonald Trump poised to win th...  #mcgnews",4,111,1,1
Donald Trump,RT @DevineNews: Rapper YG continues anti-Donald Trump campaign. Leads crowd at Coachella in anti-Trump chant (PG),2,114,1,1
Donald Trump,RT @RUCKlN: So many ppl saying they're gonna move out of America if Donald Trump is elected president but most of ya'll can't move out ur p,2,139,1,1
Donald Trump,"RT @BradThor: ""Losing at the convention is the best-case scenario for Trump.  He doesnt want to be President"" ",1,110,1,1
Donald Trump,RT @BASEDJESUS: fuck donald trump remix gotta have snoop dogg and the game on it,0,80,1,1
Donald Trump,Donald Trump shouldn't be president for his own safety,2,54,1,1
Donald Trump,@realDonaldTrump HaHa. The London Painting of the REAL Donald J Trump w/ small Penis- is True &amp; Hysterical- Sue me u Bitch! LOL,3,131,1,1
Donald Trump,"@ArleenCandiott1 @steph93065 @sandandsea2015 @cindyboyenga i'm 4 trump, albeit 4 melania when the donald is away on the campaign trail",0,134,2,0
Donald Trump,Must look at this!,0,19,2,0
Donald Trump,"RT @MikeBates: Cruz Picks Up Nebraska Delegates over No Show Trump. Looks like he couldn't cut a ""great deal."" #NeverTrump ",2,123,1,1
Donald Trump,@FBI    IMPORTANT 2 WATCH-   RT,0,31,2,0
Donald Trump,RT @WeNeedTrump: Why do police officers support Donald Trump? Because finally a leader will give them respect they should be getting.,2,134,1,0
Donald Trump,RT @adrikhan: My ringtone,0,27,2,0
Donald Trump,"RT @Askingangelina_: ""Fuck Donald Trump"" @oldwoundsnj ",2,54,1,1
Donald Trump,This needs more rts,0,20,2,0
Donald Trump,RT @kyramarat1: People Line Up in Poughkeepsie NY to see Donald J Trump  We're Just Going to Keep Winning!,3,107,1,0
Donald Trump,"RT @JenBriney: I don't fear Donald Trump. I fear the ""insiders"" who are rigging the world economically/militarily for themselves Clinton",4,139,1,0
Donald Trump,Even across the Sea people that are low on hope against the refugee invasion know enough to call for Donald Trump!,2,117,1,0
Donald Trump,RT @MADE__USA: @BarbMuenchen You gotta cheat to beat the Donald - TRUMP FRONT RUNNER SINCE DAY ONE.,3,99,1,0
Donald Trump,RT @DammmnCam: YG dressed like my Grandpa at the cookouts.,0,60,2,0
Donald Trump,Donald Trump was just mentioned during Caught on Camera on MSNBCread more:,2,76,2,1
Donald Trump,RT @DrakeBible_: Who would you rather have as a president? RT for Drake FAV for Donald Trump ,2,94,2,0
Donald Trump,RT @s8n: Comparing Donald Trump to me is really insulting,2,57,1,1
Donald Trump,RT @BusinessNewzzz: China official: donald trump 'is an irrational type' #news #market #business,1,98,1,1
Donald Trump,"If you went to UME &amp; carnage RGV &amp; saw the ""fuck Donald trump"" flag that's my rave fam ",1,95,1,1
Donald Trump,RT @TrumpusMaximus: New Poll: California!!!,0,46,2,0
Donald Trump,"RT @WayneDupreeShow: Oops! According to RCP, Trump is  +1,934,186 million in people voted (Wyoming included) #AlwaysTrump #TrumpTrain  h",1,138,1,0
Donald Trump,Wally B straight from Pulaski TENNESSEE TECHNOLOGY WALLY WORLD ALABAMA WAITING for President Donald TRUMP,4,105,1,0
Donald Trump,RT @OnlyPosersDie_: FUCK ANYONE WHO SUPPORTS DONALD TRUMP TY,0,60,1,1
Donald Trump,Visit the American county that wants Donald Trump most,2,55,1,0
Donald Trump,RT @The4th_Duck: Outside the Donald Trump rally.,2,49,2,0
Donald Trump,RT @ToluUnusual: Donald Trump Says He Could Shoot Someone On A Busy Street And Not Lose Voters,2,95,2,0
Donald Trump,Hillary Clinton spends $639.38 / retweet more than Donald Trump,4,63,1,0
Donald Trump,New York Veteran Police Association: Donald Trump 'Represents the American Way' - Breitbart,3,92,1,0
Donald Trump,"RT @realDonaldTrump: THANK YOU, SYRACUSE! #NYPrimary",0,54,1,0
Donald Trump,RT @MeekKristy: Donald Trump Quietly Helped Marine Whom Obama Ignored - The Political Insider,3,94,1,0
Donald Trump,RT @TheLastRefuge2: Donald Trump and Bernie Sanders Revealing Our Elections Rigged: The Illusions of Choice  http,4,113,2,0
Donald Trump,Will Donald Trumps New Tax Plan Cost the Government Trillions of Dollars? #DonaldTrump is anyt: Will  #hoas,2,107,2,1
Donald Trump,"RT @gatewaypundit: Donald Trump Is Outperforming Hillary, Ted Cruz and Bernie Sanders  via @gatewaypundit",7,105,1,0
Donald Trump,@LEJStiener @TioMatteo Think that you both might appreciate what a British artist thinks about Mr T.,0,101,2,0
Donald Trump,The Democratic Party is destroying itself. Ensuring Donald Trump in 2016.  #Bernie #Hillary2016 #FeelTheBern #MAGA,3,114,1,0
Donald Trump,RT @Sarah_Hyland: You tell em!,0,32,2,0
Donald Trump,RT @vinnycrack: DONALD TRUMP DOESN'T HAVE THIS KIND OF JUICE,2,61,1,1
Donald Trump,"RT @La_Jaconde_1506: NY POST KNOWS TRUMP IS UNQUALIFIED, UNFIT, UNWORTHY ....  BUT, THAT'S WHAT THEY LIKE ABOUT HIM !!!  POOR LIL MINIONS h",0,139,1,1
Donald Trump,"RT @asamjulian: Donald Trump is exposing corruption EVERYWHERE, you would have to be a fool to not support him. This is a once in a lifetim",2,139,1,0
Donald Trump,RT @Ike19777: Commentary: Why the GOP can't take the nomination from Donald Trump,2,82,2,1
Donald Trump,"@unameitdestin @AJDorsey No. Trump lost, and he lost because he has a terrible ground game. So he lied about CO.",1,114,1,1
Donald Trump,"RT @pptsapper: ""Tis a tale told by an idiot, full of sound and fury, signifying nothing."" ",0,90,1,1
Donald Trump,I'd torture him first though,0,30,1,1
Donald Trump,RT @TIME: Donald Trump made a weird comment about his daughter in 1994,2,71,2,1
Donald Trump,"RT @BrooksBeau: ""I'll vote for Donald Trump if I see him put on and take off a swimming cap on live television""",3,111,1,0
Donald Trump,"RT @LCruzOfficial: Prince is dead, Kobe retired, Obama's last year in office, donald trump will possibly be president.. 2016 is garbage",3,135,1,1
Donald Trump,RT @marklevinshow: The two faces of Donald Trump,2,49,1,1
Donald Trump,"RT @TheBriefing2016: Donald Trump is going to try to take Mitt Romney's ""etch-a-sketch"" approach to the general election. Don't let him. ht",4,139,1,1
Donald Trump,Joe Scarborough Humiliates Himself By Comparing Donald Trump To Prince via @politicususa,4,89,1,1
Donald Trump,RT @MaMac222: PA Congressman Tom Marino is proud to give Donald Trump his full endorsement and support! #OnlyTrump #PA #RI #CT ,4,127,1,0
Donald Trump,Fuck Donald Trump is currently one of my most bumped songs,3,58,1,1
Donald Trump,RT @ShawnHarrisBLK: Fuck Donald Trump.,3,38,1,1
Donald Trump,"RT @realDenaldTrump: Dopey @aglt69, why don't you stand up to the biggest deceiver of them all: Clown Trump? You don't like Truth. SAD  htt",2,139,1,1
Donald Trump,RT @girlposts: I'M DYING THEY DROVE PAST A DONALD TRUMP RALLY AND PLAYED THIS,0,79,1,1
Donald Trump,Donald Trump for president? That shit is funny #FuckDonaldTrump,2,64,1,1
Donald Trump,#DonaldTrump  The Candidate of the Disillusioned?  #immigration #fascism,0,73,1,1
Donald Trump,RT @MARIELinBOSTON: @DisparatePost Herr Trump will be balder than the Eagle that bit him!,3,90,1,1
Donald Trump,RT @TimTressider: Funny y'all hate Donald trump because your lazy asses don't wanna work/pay for all your shit. Life ain't a free ride.,1,135,1,0
Donald Trump,Why do so many Donald trump supporters have so much hatred in their hearts?,1,75,1,1
Donald Trump,RT @HillaryClinton: We all know Donald Trump says offensive things about women. Here's what he says about policies that benefit women. http,3,139,1,0
Donald Trump,RT @vuhsace: All these people dying except Donald Trump smh,2,59,1,1
Donald Trump,Do not expect me to respect you if you're wearing Donald trump paraphernalia.,1,77,1,1
Donald Trump,RT @s8n: Donald trump makes me look like a saint,1,48,1,1
Donald Trump,RT @rootingforyou: David Bowie died at 69. Alan Rickman died at 69. Donald Trump is 69. ,6,88,1,1
Donald Trump,"RT @RFAFreedom76: No, I Will Never Come Around to Supporting Trump  via @NRO because trump is nota conservative he",1,114,1,1
Donald Trump,"RT @cuuurlybeauty: It's not even funny, I'm legit scared of Donald Trump becoming president.",2,92,1,1
Donald Trump,"@foxnewspolitics I live in California, &amp; I intend to vote for DONALD TRUMP.",2,79,1,0
Donald Trump,@Emmanuelitooo_ @realDonaldTrump I love you and Donald Trump,2,60,1,0
Donald Trump,"RT @mbhouse: No, I Will Never Come Around to Supporting Trump  via @NRO",1,71,1,1
Donald Trump,"RT @Home_Halfway: Donald Trump stares in the mirror with tear-stained eyes, the burden of his wrongdoings overwhelming him. ""You're fired""",2,138,1,1
Donald Trump,RT @LowyInstitute: 45% of Aus adults say that Aus should distance itself from the US if it elects a president like @realDonaldTrump:,0,133,1,1
Donald Trump,"Roman could be like: As The Guy, I'm going to make WWE great again jue like Donald Trump is going to make America great again",2,125,1,0
Donald Trump,RT @EW: Americans would rather have #GameOfThrones' Tyrion as president over Clinton and Trump:,2,97,1,1
Katy Perry,"RT @gregpeterson33: The Peterson Farm Bros present: ""CHORE,"" a perrydy of the song ""Roar"" by Katy Perry! #agchat ",2,113,2,0
Katy Perry,"#Entertainment #Buzz Prism by Katy Perry (#CD, Oct-2013, Virgin EMI (Universal UK))  #KatyPerry #Auction",2,104,2,0
Katy Perry,RT @PBHNetwork: Katy Perry Pictures Guaranteed To Make Your Knees Weak,2,71,1,0
Katy Perry,Katy Perry - Dark Horse (Official) ft. Juicy J  via @YouTube,2,60,2,0
